DRAGONBORN MALE , 
dlOO Name, 
01-02,  Adrex,
03-04,  Arjhan,
05-06,  Azzakh ,
07-08,  Salasar,
09-10,  Barad ad,
11-12,  Bharash ,
13-14,  Bidreked,
15-16,  Dad al an,
17-18,  Dazzazn,
19-20,  Direcris,
21-22,  Donaar ,
23-24,  Fax,
25-26,  Gargax,
27-28,  Ghesh,
29-30,  Gorbundus,
31-32,  Greethen  ,
33-34,  Heskan  ,
35-36,  Hirrathak  ,
37-38,  lldrex  ,
39-40,  Kaladan  ,
41-42,  Kerkad  ,
43-44,  Kiirith ,
45-46,  Kriv ,
47-48,  Maagog  ,
49-50,  Med rash  ,
51-52,  Mehen ,
53-54,  Mozikth ,
55-56,  Mreksh ,
57-58,  Mugrunden ,
59-60,  Nadarr ,
61-62,  Nithther ,
63-64,  Norkruuth ,
65-66,  Nykkan  ,
67-68,  Pandjed ,
69-70,  Patrin  ,
71-72,  Pijjirik  ,
73-74,  Quarethon ,
75-76,  Rathkran  ,
77-78,  Rhogar  ,
79-80,  Riva an ,
81-82,  Sethrekar ,
83-84,  Sha mash  ,
85-86,  Shed inn ,
87-88,  Srorthen  ,
89-90,  Tarhun  ,
91-92,  Torinn  ,
93-94,  Trynnicus ,
95-96,  Valorean  ,
97-98,  Vrondiss ,
99-00,  Zedaar  ,

,
