HUMAN MESOAMERICAN, MALE, 
d1oo Name, 
01-02,  Achcauhtli  ,
03-04,  Amoxtli     ,
05-06,  Chicahua    ,
07-08,  Chima Iii   ,
09-10,  Cipactli    ,
11-12,  Coaxoch     ,
13-14,  Coyotl      ,
15-16,  Cu al Ii    ,
17-18,  Cuauhtemoc  ,
19-20,  Cuetlachtilo,
21-22,  Cuetzpalli  ,
23-24,  Cuixtli     ,
25-26,  Ehecatl     ,
27-28,  Etalpalli   ,
29-30,  Huemac      ,
31-32,  Huitzilihuitl,
33-34,  lccauhtli,
35-36,  llhicamina ,
37-38,  ltztli ,
39-40,  lxtli ,
41-42,  Mahuizoh ,
43-44,  Manauia ,
45-46,  Matlal ,
47-48,  Matlalihuitl ,
49-50,  Maza ti ,
51-52,  Mictlantecuhtli,
53-54,  Milintica ,
55-56,  Momoztli ,
57-58,  Namacuix ,
59-60,  Necalli ,
61-62,  Necuametl ,
63-64,  Nezahualcoyot l,
65-66,  Nexahualpilli ,
67-68,  Nochehuatl ,
69-70,  Nopaltzin ,
71-72,  Ollin ,
73-74,  Quauhtli ,
75-76,  Tenoch ,
77-78,  Teoxihuitl ,
79-80,  Tepiltzin ,
81-82,  Tezcacoatl ,
83-84,  Tlacaelel ,
85-86,  Tl ace I el ,
87-88,  Tlaloc ,
89-90,  Tlanextic ,
91-92,  Tlazohtlaloni  ,
93-94,  Tlazopillo ,
95-96,  Uetzcayotl ,
97-98,  Xipilli ,
99-00,  Yao ti ,

,
